Artikelnummer;Bestandseinheit;Produktkennung-Typ;Produktkennung-Wert;Produktkennung-Wert 2;Verfügbare Stückzahl;Käufe;Gebote;Preis;Start Date;Angebotsende;Zustand;Typ;Artikelbezeichnung;Name der Unterkategorie;Kategorienummer;Private Notizen;Website auf der ursprünglich eingestellt wurde;Download-Datum;Variantendetails;Produktreferenznummer;Zustands-ID;OutOfStockControl
112278381065;;;;;3;1;;"EUR 1,50";22.01.17;;Neu;9;"Tryst PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift Game";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122322434353;;;;;0;5;;"EUR 10,80";22.01.17;;Neu;9;"Total War Shogun 2 Fall of the Samurai PC Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122322434374;;;;;0;0;;"EUR 2,90";22.01.17;;Neu;9;"ARMA: Combat Operations PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412435918;;;;;3;17;;"EUR 3,30";23.03.17;;Neu;9;"One Piece Pirate Warriors 3 PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345319477;;;;;0;4;;"EUR 4,70";23.03.17;;Neu;9;"Warhammer 40,000 : Eternal Crusade PC spiel Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412437814;;;;;3;0;;"EUR 4,50";23.03.17;;Neu;9;"Her Story PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345321063;;;;;0;3;;"EUR 12,40";23.03.17;;Neu;9;"The Witness PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345321524;;;;;3;1;;"EUR 16,77";23.03.17;;Neu;9;"Cossacks 3 PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412440038;;;;;3;1;;"EUR 1,90";23.03.17;;Neu;9;"Receiver PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412441058;;;;;3;0;;"EUR 8,51";23.03.17;;Neu;9;"Invisible, Inc. PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345325648;;;;;3;1;;"EUR 5,93";23.03.17;;Neu;9;"The Legend of Heroes: Trails in the Sky PC Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412442011;;;;;3;0;;"EUR 11,00";23.03.17;;Neu;9;"Killer is Dead - Nightmare Edition PC spiel Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345327827;;;;;3;0;;"EUR 9,80";23.03.17;;Neu;9;"Overgrowth PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345329713;;;;;3;0;;"EUR 4,21";23.03.17;;Neu;9;"Space Pirates and Zombies PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345330784;;;;;3;0;;"EUR 2,32";23.03.17;;Neu;9;"Organ Trail: Director's Cut PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345331512;;;;;3;0;;"EUR 3,87";23.03.17;;Neu;9;"Proteus PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412445428;;;;;0;1;;"EUR 3,70";23.03.17;;Neu;9;"Titan Souls PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412447088;;;;;3;0;;"EUR 19,38";23.03.17;;Neu;9;"Blood Bowl 2 PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412447904;;;;;3;0;;"EUR 1,50";23.03.17;;Neu;9;"The Culling Of The Cows PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345335308;;;;;3;4;;"EUR 1,60";23.03.17;;Neu;9;"Kung Fury: Street Rage PC spiel Steam Download Digital Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412449043;;;;;3;0;;"EUR 1,50";23.03.17;;Neu;9;"Game Corp DX PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345336629;;;;;3;1;;"EUR 3,58";23.03.17;;Neu;9;"Jamestown PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412613290;;;;;3;1;;"EUR 49,00";23.03.17;;Neu;9;"Tom Clancy's Rainbow Six® Siege PC spiel Steam Download Link DE/EU/USA Key Code";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345416887;;;;;3;26;;"EUR 17,30";23.03.17;;Neu;9;"7 Days to Die PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345417823;;;;;0;1;;"EUR 12,61";23.03.17;;Neu;9;"Darkest Dungeon PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
122412618209;;;;;3;2;;"EUR 1,50";23.03.17;;Neu;9;"Viscera Cleanup Detail: Santa's Rampage PC Steam Download Link DE/EU/USA Key";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
112345423523;;;;;3;0;;"EUR 1,50";23.03.17;;Neu;9;"Really Big Sky PC spiel Steam Download Digital Link DE/EU/USA Key Code Gift";"PC- & Videospiele";139973;;77;"22.05.17 10:40:07 MESZ";;;1000;false
